Machine_ID,Avg_Anomaly_Score,Max_Anomaly_Score,High_Risk_Count,Medium_Risk_Count,Total_Records,High_Risk_Rate_%,Risk_Trend_Slope
9,0.2970559393745234,0.890082180047632,28,620,1991,1.4063284781516825,4.094355407166347e-07
37,0.29598959408716174,0.8811005905953259,24,592,1964,1.2219959266802443,-4.12900134886471e-06
32,0.2952737328056449,0.8725368317080567,34,629,2031,1.674052191038897,1.093788867207947e-06
7,0.29442659431205603,0.832086903035193,21,589,1965,1.0687022900763359,-1.8674909797561928e-06
47,0.29424283382951677,0.9952403481369727,26,596,2001,1.299350324837581,-5.235809978247231e-06
33,0.2940380835352243,0.8229075088328316,30,546,1956,1.5337423312883436,1.3392383728951835e-06
39,0.29349376644626624,0.8791519127855487,19,596,1993,0.9533366783743101,-3.744120648642009e-07
24,0.2931493707265022,0.8045569549944126,23,580,1984,1.159274193548387,-6.159824518592226e-06
8,0.2927754063961572,0.8657093201771082,25,574,1967,1.2709710218607015,-1.7792409193999727e-05
27,0.29268032654520054,0.8145646425503292,23,558,1957,1.1752682677567705,5.712296752659072e-06
34,0.29263718884231527,0.9594187679473435,21,557,1948,1.0780287474332648,1.2202625094867127e-05
17,0.2925909936597472,0.9111192384060611,25,626,2061,1.21300339640951,1.97499469730639e-05
18,0.2925622903898731,0.9200642503352079,26,604,2031,1.2801575578532742,-4.644293747777237e-06
44,0.2924884427163457,0.8659886030826801,30,612,2054,1.4605647517039921,-6.271566801498792e-06
28,0.2923958458437666,0.8417028653984993,22,587,2048,1.07421875,8.828305464335679e-07
19,0.29234992886383837,0.8508178790678386,25,599,2004,1.2475049900199602,-1.3898690521872968e-05
6,0.29229644682141204,0.9188354692464121,18,572,1934,0.9307135470527405,1.1453772375955352e-05
15,0.2921782598697508,0.8606180297427122,28,599,2027,1.3813517513566849,-6.495940875779943e-06
20,0.29192407187906405,0.9450988281513217,25,567,1970,1.2690355329949239,3.0037487226082633e-06
31,0.29183447498263854,0.9098503365231645,25,542,1933,1.2933264355923435,-7.082650088071272e-06
38,0.2918330507687117,0.8740617534960359,21,607,2058,1.0204081632653061,-8.843813774235194e-06
3,0.29118959327998456,0.8041886803796849,27,567,2001,1.3493253373313343,-1.2596211822290623e-05
35,0.29108685958259944,0.8128830297244177,15,586,1913,0.7841087297438577,-5.440732456351895e-06
12,0.2905749535364241,0.7464668740346436,20,553,1955,1.0230179028132993,3.4669255910453785e-06
25,0.29055896971670075,0.841197215400577,17,581,1998,0.8508508508508509,-3.5447474429445854e-06
22,0.29048754359231466,0.8679613765664912,23,572,2031,1.1324470704086658,-1.5362277091029107e-05
29,0.2902276313946132,0.8589971578783695,23,600,2044,1.1252446183953033,6.331003570386916e-06
2,0.29017188723716025,0.859938364358089,18,570,2041,0.8819206271435571,-8.611270006223581e-06
30,0.2901039164580734,0.8302544233247581,21,599,2074,1.0125361620057858,-1.401674044742401e-05
43,0.290085201651565,0.9267197048140967,27,530,1906,1.4165792235047219,-1.4934600415079405e-05
13,0.29003550808703665,0.858392001022043,17,584,2040,0.8333333333333334,-1.0359146611399657e-05
4,0.2898855141480138,0.8084178188652672,30,569,2004,1.4970059880239521,2.7192614123323077e-06
45,0.2896140049019437,0.8450259678029904,24,582,2080,1.153846153846154,-7.788609984977648e-06
41,0.2896013696064968,0.8112928541119518,24,590,2013,1.1922503725782414,-5.5721195654731426e-06
50,0.28949155811298527,0.9437714385135695,21,534,1912,1.0983263598326358,-1.2275266520318395e-05
14,0.2893343957168307,0.9126494038321386,20,549,1941,1.0303967027305512,-1.1165718924963063e-05
1,0.28932119654889343,0.9999999961344581,27,545,1916,1.4091858037578289,9.108874919284262e-06
23,0.28857789593034744,0.8224941496178633,26,572,2092,1.24282982791587,-8.524357101296995e-06
40,0.2885267112828864,0.8584820743727368,15,571,2001,0.7496251874062968,7.545644781497399e-06
46,0.2879804573599703,0.7879414344339837,20,553,1912,1.0460251046025104,-5.304266501273067e-06
16,0.28789108381726713,0.8414856781061674,17,580,2010,0.845771144278607,-1.7204765101116592e-07
49,0.28784628440183274,0.7390778242771113,17,572,1950,0.8717948717948718,2.4641540842905297e-06
11,0.2871108045884753,0.8518787192463049,20,533,1951,1.0251153254741157,-1.8955252239461066e-05
36,0.2869793520440123,0.8159940825497536,15,594,2085,0.7194244604316548,-8.772737036303047e-06
26,0.28628190276127735,0.8471299164679075,24,565,2059,1.165614375910636,5.074736769880378e-06
21,0.2858788421590209,0.8310422860365079,24,561,2052,1.1695906432748537,-1.1437015382768858e-05
10,0.28545704344962564,0.8247828930100732,13,586,2022,0.6429277942631058,-9.137771678271296e-07
42,0.2852565463690042,0.8879281566635098,12,580,2019,0.5943536404160475,-3.265345580140201e-08
48,0.2848878816658846,0.7867615618883042,24,580,2058,1.1661807580174928,-4.363206119725716e-06
5,0.2828732439852546,0.8272494763977065,30,526,2043,1.4684287812041115,-1.5884867956867524e-05
